attack,attack_type,aggressive,stealth,flame_evasion,defense,partition,runs,failed_runs,mean_accuracy,std_accuracy,mean_f1,std_f1,mean_asr,std_asr,mean_duration_sec
backdoor,backdoor,0,0,0,adaptive_clipping,dirichlet,3,3,,,,,,,
backdoor,backdoor,0,0,0,adaptive_clipping,iid,3,3,,,,,,,
backdoor,backdoor,0,0,0,adaptive_clipping,pathological,3,3,,,,,,,
backdoor,backdoor,0,0,0,avg,dirichlet,3,3,,,,,,,
backdoor,backdoor,0,0,0,avg,iid,3,3,,,,,,,
backdoor,backdoor,0,0,0,avg,pathological,3,3,,,,,,,
backdoor,backdoor,0,0,0,flame,dirichlet,3,3,,,,,,,
backdoor,backdoor,0,0,0,flame,iid,3,3,,,,,,,
backdoor,backdoor,0,0,0,flame,pathological,3,3,,,,,,,
backdoor,backdoor,0,0,0,krum,dirichlet,3,3,,,,,,,
backdoor,backdoor,0,0,0,krum,iid,3,3,,,,,,,
backdoor,backdoor,0,0,0,krum,pathological,3,3,,,,,,,
backdoor,backdoor,0,0,0,median,dirichlet,3,3,,,,,,,
backdoor,backdoor,0,0,0,median,iid,3,3,,,,,,,
backdoor,backdoor,0,0,0,median,pathological,3,3,,,,,,,
backdoor,backdoor,0,0,0,multi_krum,dirichlet,3,3,,,,,,,
backdoor,backdoor,0,0,0,multi_krum,iid,3,3,,,,,,,
backdoor,backdoor,0,0,0,multi_krum,pathological,3,3,,,,,,,
backdoor,backdoor,0,0,0,sentinel,dirichlet,3,3,,,,,,,
backdoor,backdoor,0,0,0,sentinel,iid,3,3,,,,,,,
backdoor,backdoor,0,0,0,sentinel,pathological,3,3,,,,,,,
backdoor,backdoor,0,0,0,trimmed_mean,dirichlet,3,3,,,,,,,
backdoor,backdoor,0,0,0,trimmed_mean,iid,3,3,,,,,,,
backdoor,backdoor,0,0,0,trimmed_mean,pathological,3,3,,,,,,,
clean,clean,0,0,0,adaptive_clipping,dirichlet,3,3,,,,,,,
clean,clean,0,0,0,adaptive_clipping,iid,3,3,,,,,,,
clean,clean,0,0,0,adaptive_clipping,pathological,3,3,,,,,,,
clean,clean,0,0,0,avg,dirichlet,3,3,,,,,,,
clean,clean,0,0,0,avg,iid,3,3,,,,,,,
clean,clean,0,0,0,avg,pathological,3,3,,,,,,,
clean,clean,0,0,0,flame,dirichlet,3,3,,,,,,,
clean,clean,0,0,0,flame,iid,3,3,,,,,,,
clean,clean,0,0,0,flame,pathological,3,3,,,,,,,
clean,clean,0,0,0,krum,dirichlet,3,3,,,,,,,
clean,clean,0,0,0,krum,iid,3,3,,,,,,,
clean,clean,0,0,0,krum,pathological,3,3,,,,,,,
clean,clean,0,0,0,median,dirichlet,3,3,,,,,,,
clean,clean,0,0,0,median,iid,3,3,,,,,,,
clean,clean,0,0,0,median,pathological,3,3,,,,,,,
clean,clean,0,0,0,multi_krum,dirichlet,3,3,,,,,,,
clean,clean,0,0,0,multi_krum,iid,3,3,,,,,,,
clean,clean,0,0,0,multi_krum,pathological,3,3,,,,,,,
clean,clean,0,0,0,sentinel,dirichlet,3,3,,,,,,,
clean,clean,0,0,0,sentinel,iid,3,3,,,,,,,
clean,clean,0,0,0,sentinel,pathological,3,3,,,,,,,
clean,clean,0,0,0,trimmed_mean,dirichlet,3,3,,,,,,,
clean,clean,0,0,0,trimmed_mean,iid,3,3,,,,,,,
clean,clean,0,0,0,trimmed_mean,pathological,3,3,,,,,,,
flame_evasive,backdoor,0,0,1,adaptive_clipping,dirichlet,3,3,,,,,,,
flame_evasive,backdoor,0,0,1,adaptive_clipping,iid,3,3,,,,,,,
flame_evasive,backdoor,0,0,1,adaptive_clipping,pathological,3,3,,,,,,,
flame_evasive,backdoor,0,0,1,avg,dirichlet,3,3,,,,,,,
flame_evasive,backdoor,0,0,1,avg,iid,3,3,,,,,,,
flame_evasive,backdoor,0,0,1,avg,pathological,3,3,,,,,,,
flame_evasive,backdoor,0,0,1,flame,dirichlet,3,3,,,,,,,
flame_evasive,backdoor,0,0,1,flame,iid,3,3,,,,,,,
flame_evasive,backdoor,0,0,1,flame,pathological,3,3,,,,,,,
flame_evasive,backdoor,0,0,1,krum,dirichlet,3,3,,,,,,,
flame_evasive,backdoor,0,0,1,krum,iid,3,3,,,,,,,
flame_evasive,backdoor,0,0,1,krum,pathological,3,3,,,,,,,
flame_evasive,backdoor,0,0,1,median,dirichlet,3,3,,,,,,,
flame_evasive,backdoor,0,0,1,median,iid,3,3,,,,,,,
flame_evasive,backdoor,0,0,1,median,pathological,3,3,,,,,,,
flame_evasive,backdoor,0,0,1,multi_krum,dirichlet,3,3,,,,,,,
flame_evasive,backdoor,0,0,1,multi_krum,iid,3,3,,,,,,,
flame_evasive,backdoor,0,0,1,multi_krum,pathological,3,3,,,,,,,
flame_evasive,backdoor,0,0,1,sentinel,dirichlet,3,3,,,,,,,
flame_evasive,backdoor,0,0,1,sentinel,iid,3,3,,,,,,,
flame_evasive,backdoor,0,0,1,sentinel,pathological,3,3,,,,,,,
flame_evasive,backdoor,0,0,1,trimmed_mean,dirichlet,3,3,,,,,,,
flame_evasive,backdoor,0,0,1,trimmed_mean,iid,3,3,,,,,,,
flame_evasive,backdoor,0,0,1,trimmed_mean,pathological,3,3,,,,,,,
label_flip,label_flip,0,0,0,adaptive_clipping,dirichlet,3,3,,,,,,,
label_flip,label_flip,0,0,0,adaptive_clipping,iid,3,3,,,,,,,
label_flip,label_flip,0,0,0,adaptive_clipping,pathological,3,3,,,,,,,
label_flip,label_flip,0,0,0,avg,dirichlet,3,3,,,,,,,
label_flip,label_flip,0,0,0,avg,iid,3,3,,,,,,,
label_flip,label_flip,0,0,0,avg,pathological,3,3,,,,,,,
label_flip,label_flip,0,0,0,flame,dirichlet,3,3,,,,,,,
label_flip,label_flip,0,0,0,flame,iid,3,3,,,,,,,
label_flip,label_flip,0,0,0,flame,pathological,3,3,,,,,,,
label_flip,label_flip,0,0,0,krum,dirichlet,3,3,,,,,,,
label_flip,label_flip,0,0,0,krum,iid,3,3,,,,,,,
label_flip,label_flip,0,0,0,krum,pathological,3,3,,,,,,,
label_flip,label_flip,0,0,0,median,dirichlet,3,3,,,,,,,
label_flip,label_flip,0,0,0,median,iid,3,3,,,,,,,
label_flip,label_flip,0,0,0,median,pathological,3,3,,,,,,,
label_flip,label_flip,0,0,0,multi_krum,dirichlet,3,3,,,,,,,
label_flip,label_flip,0,0,0,multi_krum,iid,3,3,,,,,,,
label_flip,label_flip,0,0,0,multi_krum,pathological,3,3,,,,,,,
label_flip,label_flip,0,0,0,sentinel,dirichlet,3,3,,,,,,,
label_flip,label_flip,0,0,0,sentinel,iid,3,3,,,,,,,
label_flip,label_flip,0,0,0,sentinel,pathological,3,3,,,,,,,
label_flip,label_flip,0,0,0,trimmed_mean,dirichlet,3,3,,,,,,,
label_flip,label_flip,0,0,0,trimmed_mean,iid,3,3,,,,,,,
label_flip,label_flip,0,0,0,trimmed_mean,pathological,3,3,,,,,,,
model_replacement,backdoor,1,0,0,adaptive_clipping,dirichlet,3,3,,,,,,,
model_replacement,backdoor,1,0,0,adaptive_clipping,iid,3,3,,,,,,,
model_replacement,backdoor,1,0,0,adaptive_clipping,pathological,3,3,,,,,,,
model_replacement,backdoor,1,0,0,avg,dirichlet,3,3,,,,,,,
model_replacement,backdoor,1,0,0,avg,iid,3,3,,,,,,,
model_replacement,backdoor,1,0,0,avg,pathological,3,3,,,,,,,
model_replacement,backdoor,1,0,0,flame,dirichlet,3,3,,,,,,,
model_replacement,backdoor,1,0,0,flame,iid,3,3,,,,,,,
model_replacement,backdoor,1,0,0,flame,pathological,3,3,,,,,,,
model_replacement,backdoor,1,0,0,krum,dirichlet,3,3,,,,,,,
model_replacement,backdoor,1,0,0,krum,iid,3,3,,,,,,,
model_replacement,backdoor,1,0,0,krum,pathological,3,3,,,,,,,
model_replacement,backdoor,1,0,0,median,dirichlet,3,3,,,,,,,
model_replacement,backdoor,1,0,0,median,iid,3,3,,,,,,,
model_replacement,backdoor,1,0,0,median,pathological,3,3,,,,,,,
model_replacement,backdoor,1,0,0,multi_krum,dirichlet,3,3,,,,,,,
model_replacement,backdoor,1,0,0,multi_krum,iid,3,3,,,,,,,
model_replacement,backdoor,1,0,0,multi_krum,pathological,3,3,,,,,,,
